ID,ISBN,Автор,Авторы,В базе,В закладки,Возраст,Год,Издательство,Код,Название,Не понравилось,Обложка,Описание,Переводчик,Переплёт,Понравилось,Производитель,Размеры,Рейтинг,Серия,Страниц,Тематика,Тираж,Формат,Цена
2576314,978-5-699-64381-3,Донцова Дарья Аркадьевна,,Э.ДиД.(м).Муха в самолете.Главбух и полцарства,34,16+,2013,Эксмо,960533,Муха в самолете.Главбух и полцарства,2,/files/1836/25/43/73/4.jpg,,,,5,,"10,30 см x 16,40 см",61.54,Двойной артефакт-детектив,608,Отечественные,,165.00mm x 105.00mm x 35.00mm,
2576586,978-5-699-62817-9,Емец Дмитрий Александрович,,Э.ДетВП.Король хитрости,1,6+,2013,Эксмо,962393,Король хитрости,0,/files/1836/23/07/87/1.jpg,,,твердый,6,,"21,50 см x 14,50 см x 2,30 см",75.0,,336,Для младшего школьного возраста,4100,215.00mm x 145.00mm x 22.00mm,
2579796,978-5-699-64916-7,Роллинс Джеймс ,,Э.Покет.Последний оракул,10,16+,2013,Эксмо,965104,Последний оракул,3,/files/1836/23/15/47/0.jpg,,,мягкий,24,,"11,50 см x 18,00 см x 2,20 см",88.89,Pocket book,544,Зарубежная,3000,180.00mm x 115.00mm x 24.00mm,
2579802,978-5-699-63186-5,Донцова Дарья Аркадьевна,,Э.ИД.Кнопка управления мужем,1,16+,2013,Эксмо,965460,Кнопка управления мужем: роман,5,/files/1836/23/11/04/2.jpg,"Ну почему я, Виола Тараканова, никому не могу отказать в помощи? Даже если о ней просит... мой бывший возлюбленный, коварный изменник Константин Франклин! Совсем недавно он без лишних слов бросил меня и молниеносно женился на другой. А теперь умоляет восстановить его доброе имя - Костю обвиняют... сразу в двух убийствах! Собственно, из-за первого он и оказался женат - будущий тесть застукал его прямо над телом обнаженной девушки с перерезанным горлом и любезно предложил скрыть следы преступления, если Костя... отведет в загс его дочку Владу. Пришлось Франклину подчиниться, но вскоре на тот свет тем же способом отправилась и его свежеиспеченная супруга... Что ж, материал для моей новой книги наклевывается любопытный, да наш с Костей роман, возможно, имеет шанс на второй том!",,твердый,22,,"12,00 см x 19,50 см x 2,00 см",81.48,Иронический детектив,352,Отечественные,250000,196.00mm x 120.00mm x 21.00mm,
2579894,978-5-699-65009-5,Донцова Дарья Аркадьевна,,Э.ДиД.(м).Уха из золотой рыбки.Жаба с кошельком,1,16+,2013,Эксмо,965625,Уха из золотой рыбки. Жаба с кошельком : романы,2,/files/1836/23/10/28/3.jpg,"Уха из золотой рыбки
Дашина подруга Лика восьмой раз выходила замуж. Даша Васильева и вся ее семья погуляли на свадьбе, а утром в Ложкине появилась рыдающая Лика и сообщила - в первую брачную ночь муж потребовал... развод. Прямо на свадьбе Евгений полюбил 0 красавицу-блондинку. А через день Даша узнала, что Лика, как Стенька Разин княжну, утопила мужа, только в Москве-реке. Даша в это не верит, но есть свидетель, и на суде Лика во всем
призналась...
Жаба с кошельком
Даша Васильева со всем семейством приехала в гости к своим друзьям - Андрею Литвинскому и его новой жене Вике. Марта, прежняя жена Андрея, не так давно погибла в горах. А теперь, попив чаю из нового серебряного сервиза, приобретенного Викой, чуть не погибли ДгГша и ее невестка! Андрей же умер от отравления неизвестным ядом. Вику арестовали, обвинив в убийстве мужа. Но Даша не верит в ее вину! Любительница частного сыска решила найти человека, у которого был куплен
сервиз...",,мягкий,14,,"10,75 см x 16,50 см x 3,70 см",87.5,Двойной иронический детектив,608,Отечественные,10000,165.00mm x 105.00mm x 35.00mm,
2581262,978-5-699-65095-8,Донцова Дарья Аркадьевна,,Э.ИД(м).Пальцы китайским веером,10,16+,2016,Эксмо,966823,Пальцы китайским веером: роман,4,/files/1836/32/97/61/7.jpeg,"Как известно, инициатива наказуема! Но разве Даша Васильева могла пройти мимо загадочной истории? А начиналось все вполне невинно: ее попросили пожить в доме Майи Михайловны, заболевшей матери приятеля, поухаживать за любимцем хозяйки - роскошным котом по кличке Рудольф Иванович. Оказалось, Майя Михайловна, жившая неподалеку от клиники неврозов, была доморощенным психотерапевтом. А в ее отсутствие исполнять эту непростую роль пришлось Даше! Один из пациентов, подросток Иван, поведал леденящую душу историю - отчим убил его сестру, потом мать, а теперь покушается на жизнь самого Ванечки! Конечно, любительница частного сыска ринулась на помощь, но ей пришлось отвлечься на другую ""клиентку"" - милая девушка Элечка мечтала выйти замуж, однако все женихи сбегали от нее на втором свидании. И как же Даше выяснить, в чем причина? Только… спрятавшись в шкафу у незадачливой невесты!",,мягкий,28,,"10,50 см x 16,50 см x 2,10 см",87.5,Иронический детектив,352,Отечественные,140000,163.00mm x 106.00mm x 22.00mm,
2631823,978-5-699-64058-4,Емец Дмитрий Александрович,,Э.ВесКан.Колесница призраков,41,12+,2013,Эксмо,966485,Колесница призраков,0,/files/1836/23/11/05/3.jpg,"Однажды пятерка неразлучных друзей собралась в квартире знаменитого археолога Штукина. И как-то так случайно получилось, что разбился старинный кувшин, откуда немедленно вырвался на свободу... воинственный призрак предводителя гуннов Аттилы. И хоть все пятеро ребят отличаются умом и сообразительностью, справиться с грозным кошмаром им не удалось. Поэтому на помощь ребятам пришел профессор Фантомов -специалист по аномальным явлениям...",,твердый,4,,"21,50 см x 14,50 см x 2,30 см",70.0,,320,Для среднего школьного возраста,4100,215.00mm x 145.00mm x 25.00mm,
2642479,978-5-699-13621-6,Емец Дмитрий Александрович,,Э.Мефодий Буслаев-3.Третий всадник мрака,5,12+,2013,Эксмо,249724,Мефодий Буслаев. Кн.3. Третий всадник мрака,3,/files/1836/96/22/8.jpg,"Полубоги не уходят без следа. Они не могут покинуть этот мир, не передав бессмертие и дар… Валькирия умирала… Умирала, раненная мечом, который разит даже бессмертных. Умирала в кухне зауряднейшего из домов, на полу, залитом ее кровью. Рядом с ней лежала Ирка, упавшая с инвалидного кресла и с ужасом и восторгом внимавшая словам неожиданной «гостьи». Отныне Ирка становится валькирией! Нет больше беспомощной калеки! Ей предстоит сразиться с третьим всадником мрака. А вскоре она узнает, что это призрак бывшего властелина мрака Кводнона, выпустивший посланца из-за Жутких Ворот, который и погубил валькирию. Кводнон собирается воплотиться в Мефодия Буслаева. И если это произойдет…",,твердый,152,,"13,00 см x 20,00 см x 2,40 см",98.06,Мефодий Буслаев,416,Для среднего школьного возраста,85100,205.00mm x 135.00mm x 25.00mm,
2647590,978-5-00111-000-2,Хантер Эрин ,,ОЛМА Коты-воители Большие гиды 3. Закон племен,173,12+,2015,Олма-пресс,971486,"Закон племен: Путеводитель по серии ""Коты-воители""",4,/files/1836/25/25/68/4.jpeg,"Великолепное красочное издание - третье из нового направления в развитии знаменитой эпопеи Эрин Хантер ""Коты-воители"".",,твердый,170,,"24,00 см x 17,00 см x 1,50 см",97.7,Коты-воители. Подарок,192,Для среднего школьного возраста,8000,242.00mm x 170.00mm x 15.00mm,411.0
2648323,978-5-699-65373-7,Донцова Дарья Аркадьевна,,Э.ДиД.(м).Хождение под мухой.Принцесса на Кириешка,3,16+,2013,Эксмо,970742,Хождение под мухой: Принцесса на Кириешках: романы,2,/files/1836/25/43/73/6.jpg,,,мягкий,13,,"10,00 см x 16,50 см x 3,50 см",86.67,Двойной иронический детектив,608,Отечественные,10000,165.00mm x 105.00mm x 35.00mm,
