,vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,dolya,id_x,model_score_x,id_y,model_score_y
0,28957,Архангельск,Супы,0.0,2.0,0.0,1.0,28957,0.42187112942337995,28957,0.42187112942337995
1,37381,Архангельск,Пироги,0.0,0.0,0.0,,37381,0.38650284195318796,37381,0.38650284195318796
2,28703,Архангельск,Суши,111.0,3.0,0.0,0.02631578947368421,28703,0.664807590655982,28703,0.664807590655982
3,37382,Архангельск,Пироги,1.0,0.0,0.0,0.0,37382,0.8388831908814609,37382,0.8388831908814609
4,36877,Архангельск,Бургеры,22.0,2.0,0.0,0.08333333333333333,36877,0.17646945780143106,36877,0.17646945780143106
5,37650,Архангельск,Суши,3.0,0.0,0.0,0.0,37650,0.610479769762605,37650,0.610479769762605
6,37127,Астрахань,Суши,55.0,5.0,6.0,0.07575757575757576,37127,0.49495686823502205,37127,0.49495686823502205
7,28476,Астрахань,Суши,342.0,13.0,14.0,0.03523035230352303,28476,0.430523219052702,28476,0.430523219052702
8,28478,Астрахань,Суши,194.0,1.0,7.0,0.0049504950495049506,28478,0.39087488502264,28478,0.39087488502264
9,34127,Астрахань,Пицца,136.0,4.0,1.0,0.028368794326241134,34127,0.7152111600153149,34127,0.7152111600153149
10,28477,Астрахань,Суши,74.0,1.0,1.0,0.013157894736842105,28477,0.0846854550763965,28477,0.0846854550763965
11,36291,Астрахань,Суши,23.0,1.0,2.0,0.038461538461538464,36291,0.21793526690453302,36291,0.21793526690453302
12,37437,Астрахань,Шашлыки,112.0,1.0,0.0,0.008849557522123894,37437,0.598969302140176,37437,0.598969302140176
13,28517,Астрахань,Пицца,142.0,4.0,4.0,0.02666666666666667,28517,0.00788351893424988,28517,0.00788351893424988
14,29027,Астрахань,Суши,5.0,0.0,0.0,0.0,29027,0.913637445308268,29027,0.913637445308268
15,37128,Астрахань,Пицца,12.0,2.0,0.0,0.14285714285714285,37128,0.656346661970019,37128,0.656346661970019
16,28548,Астрахань,Пицца,79.0,1.0,2.0,0.012195121951219513,28548,0.5068825241178271,28548,0.5068825241178271
17,33322,Астрахань,Суши,0.0,1.0,1.0,0.5,33322,0.988309176638722,33322,0.988309176638722
18,28515,Астрахань,Пицца,192.0,1.0,0.0,0.0051813471502590676,28515,0.9086218210868541,28515,0.9086218210868541
19,28473,Астрахань,Суши,98.0,3.0,1.0,0.029411764705882353,28473,0.814876571297646,28473,0.814876571297646
20,37563,Барнаул,Пироги,4.0,1.0,0.0,0.2,37563,0.33897726656869104,37563,0.33897726656869104
21,13235,Барнаул,Пицца,37.0,0.0,0.0,0.0,13235,0.8996797422878441,13235,0.8996797422878441
22,37071,Барнаул,Шашлыки,12.0,0.0,0.0,0.0,37071,0.9778377548791469,37071,0.9778377548791469
23,36097,Барнаул,Шашлыки,7.0,1.0,1.0,0.1111111111111111,36097,0.0433509442955256,36097,0.0433509442955256
24,36197,Барнаул,Выпечка,3.0,1.0,0.0,0.25,36197,0.711514989379793,36197,0.711514989379793
25,19795,Барнаул,Суши,881.0,7.0,4.0,0.007847533632286996,19795,0.132496043574065,19795,0.132496043574065
26,10892,Барнаул,Суши,84.0,2.0,0.0,0.023255813953488372,10892,0.0474497792311013,10892,0.0474497792311013
27,18166,Барнаул,Шашлыки,98.0,4.0,3.0,0.0380952380952381,18166,0.178783926647156,18166,0.178783926647156
28,13191,Барнаул,Пицца,105.0,0.0,1.0,0.0,13191,0.7612107601016759,13191,0.7612107601016759
29,35749,Барнаул,Пицца,80.0,0.0,1.0,0.0,35749,0.146631358191371,35749,0.146631358191371
30,9255,Барнаул,Суши,52.0,0.0,1.0,0.0,9255,0.47626621089875704,9255,0.47626621089875704
31,13236,Барнаул,Пицца,76.0,3.0,0.0,0.0379746835443038,13236,0.562911783810705,13236,0.562911783810705
